Receiver_account,Date,unique_senders,total_transactions,total_received,avg_transaction_amount,alert_type,risk_level
5628674969,2022-10-07,11,27,200321.54,7419.316296,SMURFING,CRITICAL
5466123934,2022-10-07,12,23,172698.04,7508.610435,SMURFING,CRITICAL
1377603863,2022-10-07,9,21,153149.21,7292.819524,SMURFING,CRITICAL
6444220418,2022-10-07,8,16,141366.01,8835.375625,SMURFING,CRITICAL
3695545812,2022-10-07,11,20,126943.98,6347.199000,SMURFING,CRITICAL
8172080174,2022-10-07,9,19,125484.26,6604.434737,SMURFING,CRITICAL
5858369125,2022-10-07,9,18,125466.20,6970.344444,SMURFING,CRITICAL
4336977506,2022-10-07,10,17,116946.92,6879.230588,SMURFING,CRITICAL
5109623450,2022-10-07,8,15,116577.57,7771.838000,SMURFING,CRITICAL
6953672776,2022-10-07,10,15,111769.93,7451.328667,SMURFING,CRITICAL
1320927231,2022-10-07,7,14,103894.34,7421.024286,SMURFING,CRITICAL
4270865741,2022-10-07,8,14,95721.74,6837.267143,SMURFING,CRITICAL
6646502650,2022-10-07,9,13,92932.58,7148.660000,SMURFING,CRITICAL
409707192,2022-10-07,6,13,92238.75,7095.288462,SMURFING,CRITICAL
6034997194,2022-10-07,7,14,85160.69,6082.906429,SMURFING,CRITICAL
7080357663,2022-10-07,9,12,84218.37,7018.197500,SMURFING,CRITICAL
7892884492,2022-10-07,5,11,84110.87,7646.442727,SMURFING,CRITICAL
5103043844,2022-10-07,10,12,79802.08,6650.173333,SMURFING,CRITICAL
8518184956,2022-10-07,6,11,77142.64,7012.967273,SMURFING,CRITICAL
1316458123,2022-10-07,6,11,65103.42,5918.492727,SMURFING,CRITICAL
1431561040,2022-10-07,6,9,61449.94,6827.771111,SMURFING,CRITICAL
2534644942,2022-10-07,5,9,58698.17,6522.018889,SMURFING,CRITICAL
1493436023,2022-10-07,6,9,58444.15,6493.794444,SMURFING,CRITICAL
1465487567,2022-10-07,5,7,57576.52,8225.217143,SMURFING,CRITICAL
2138505015,2022-10-07,6,8,57249.80,7156.225000,SMURFING,CRITICAL
6855935396,2022-10-07,6,8,54558.73,6819.841250,SMURFING,CRITICAL
3220735304,2022-10-07,3,6,53357.88,8892.980000,SMURFING,MEDIUM
3079818547,2022-10-07,3,7,52200.97,7457.281429,SMURFING,MEDIUM
8673917867,2022-10-07,5,7,51339.98,7334.282857,SMURFING,CRITICAL
8352571580,2022-10-07,4,5,39741.28,7948.256000,SMURFING,HIGH
5363117119,2022-10-07,3,4,34923.20,8730.800000,SMURFING,MEDIUM
8678802420,2022-10-07,3,5,34870.90,6974.180000,SMURFING,MEDIUM
7160736915,2022-10-07,4,5,30501.26,6100.252000,SMURFING,HIGH
7199625988,2022-10-07,3,4,27569.87,6892.467500,SMURFING,MEDIUM
5708936901,2022-10-07,3,5,26993.32,5398.664000,SMURFING,MEDIUM
7067082284,2022-11-15,3,3,21128.91,7042.970000,SMURFING,MEDIUM
