account,Date,amount,alert_type,risk_level
2797271466,2022-10-07,185658.18,STRUCTURING,CRITICAL
7758268667,2022-10-07,175746.08,STRUCTURING,CRITICAL
6904668523,2022-10-07,142822.31,STRUCTURING,CRITICAL
7669236826,2022-10-07,133338.39,STRUCTURING,CRITICAL
3510078932,2022-10-07,129707.54,STRUCTURING,CRITICAL
2365007895,2022-10-07,129430.25,STRUCTURING,CRITICAL
6086421020,2022-10-07,128968.86,STRUCTURING,CRITICAL
1378784400,2022-10-07,128615.80,STRUCTURING,CRITICAL
9734083970,2022-10-07,107663.34,STRUCTURING,CRITICAL
7501327339,2022-10-07,105820.57,STRUCTURING,CRITICAL
3709430533,2022-10-07,95612.40,STRUCTURING,CRITICAL
6116657264,2022-10-07,95552.38,STRUCTURING,CRITICAL
3614082527,2022-10-07,91022.55,STRUCTURING,CRITICAL
1915450576,2022-10-07,88801.53,STRUCTURING,CRITICAL
675669049,2022-10-07,76881.35,STRUCTURING,CRITICAL
3168051873,2022-10-07,75452.51,STRUCTURING,CRITICAL
7421451752,2022-10-07,72031.47,STRUCTURING,CRITICAL
8389148416,2022-10-07,71972.26,STRUCTURING,CRITICAL
5982914936,2022-10-07,69609.83,STRUCTURING,CRITICAL
6057444675,2022-10-07,67373.84,STRUCTURING,CRITICAL
8456279067,2022-10-07,64853.13,STRUCTURING,CRITICAL
8952177221,2022-10-07,63238.69,STRUCTURING,CRITICAL
8203229522,2022-10-07,63095.92,STRUCTURING,CRITICAL
9534729015,2022-10-07,61145.78,STRUCTURING,CRITICAL
5021785800,2022-10-07,59655.40,STRUCTURING,CRITICAL
4121324384,2022-10-07,59298.31,STRUCTURING,CRITICAL
1491989064,2022-10-07,51380.16,STRUCTURING,CRITICAL
9599009457,2022-10-07,49518.88,STRUCTURING,HIGH
8987848252,2022-10-07,48414.78,STRUCTURING,HIGH
2199795388,2022-10-07,47474.70,STRUCTURING,HIGH
7695306517,2022-10-07,38188.06,STRUCTURING,HIGH
6541552727,2022-10-07,37595.99,STRUCTURING,HIGH
9746384104,2022-10-07,34019.62,STRUCTURING,HIGH
9828143010,2022-10-07,33382.51,STRUCTURING,HIGH
2004133484,2022-10-07,32307.93,STRUCTURING,HIGH
4678874499,2022-10-07,29232.36,STRUCTURING,MEDIUM
1937509788,2022-10-07,29109.99,STRUCTURING,MEDIUM
5979365359,2022-10-07,28913.31,STRUCTURING,MEDIUM
9901680164,2022-10-07,28788.81,STRUCTURING,MEDIUM
9081133856,2022-10-07,28311.65,STRUCTURING,MEDIUM
3440654296,2022-10-07,27926.65,STRUCTURING,MEDIUM
5706877708,2022-10-07,27666.41,STRUCTURING,MEDIUM
1843365823,2022-10-07,27473.16,STRUCTURING,MEDIUM
5102544036,2022-10-07,27433.43,STRUCTURING,MEDIUM
6404844146,2022-10-07,26905.50,STRUCTURING,MEDIUM
2369776263,2022-10-09,26459.34,STRUCTURING,MEDIUM
6742623852,2022-10-07,26425.38,STRUCTURING,MEDIUM
5452849099,2022-10-07,25856.77,STRUCTURING,MEDIUM
1382513766,2022-10-07,25765.38,STRUCTURING,MEDIUM
9302522864,2022-10-07,25412.84,STRUCTURING,MEDIUM
9168588789,2022-10-07,24891.97,STRUCTURING,MEDIUM
8273126721,2022-10-07,24380.87,STRUCTURING,MEDIUM
2047410771,2022-10-07,24212.99,STRUCTURING,MEDIUM
3011203127,2022-10-07,24157.18,STRUCTURING,MEDIUM
5188677620,2022-10-07,23669.76,STRUCTURING,MEDIUM
1220646142,2022-10-07,23327.38,STRUCTURING,MEDIUM
3336234389,2022-10-07,23227.08,STRUCTURING,MEDIUM
5802257583,2022-10-07,23041.77,STRUCTURING,MEDIUM
7155736136,2022-10-07,22872.79,STRUCTURING,MEDIUM
7326442087,2022-10-07,22676.24,STRUCTURING,MEDIUM
1490260385,2022-10-07,22282.69,STRUCTURING,MEDIUM
5042064131,2022-10-07,22077.30,STRUCTURING,MEDIUM
8201605808,2022-10-07,21664.25,STRUCTURING,MEDIUM
1730350525,2022-10-07,21618.39,STRUCTURING,MEDIUM
3030213922,2022-10-07,21485.66,STRUCTURING,MEDIUM
2045644966,2022-10-07,21069.00,STRUCTURING,MEDIUM
787064572,2022-10-07,21007.50,STRUCTURING,MEDIUM
9334364016,2022-10-07,20818.38,STRUCTURING,MEDIUM
9598349393,2022-10-07,20688.69,STRUCTURING,MEDIUM
8770181801,2022-10-07,20595.77,STRUCTURING,MEDIUM
8413340671,2022-10-07,20102.78,STRUCTURING,MEDIUM
5628674969,2022-10-07,200321.54,SMURFING,CRITICAL
5466123934,2022-10-07,172698.04,SMURFING,CRITICAL
1377603863,2022-10-07,153149.21,SMURFING,CRITICAL
6444220418,2022-10-07,141366.01,SMURFING,CRITICAL
3695545812,2022-10-07,126943.98,SMURFING,CRITICAL
8172080174,2022-10-07,125484.26,SMURFING,CRITICAL
5858369125,2022-10-07,125466.20,SMURFING,CRITICAL
4336977506,2022-10-07,116946.92,SMURFING,CRITICAL
5109623450,2022-10-07,116577.57,SMURFING,CRITICAL
6953672776,2022-10-07,111769.93,SMURFING,CRITICAL
1320927231,2022-10-07,103894.34,SMURFING,CRITICAL
4270865741,2022-10-07,95721.74,SMURFING,CRITICAL
6646502650,2022-10-07,92932.58,SMURFING,CRITICAL
409707192,2022-10-07,92238.75,SMURFING,CRITICAL
6034997194,2022-10-07,85160.69,SMURFING,CRITICAL
7080357663,2022-10-07,84218.37,SMURFING,CRITICAL
7892884492,2022-10-07,84110.87,SMURFING,CRITICAL
5103043844,2022-10-07,79802.08,SMURFING,CRITICAL
8518184956,2022-10-07,77142.64,SMURFING,CRITICAL
1316458123,2022-10-07,65103.42,SMURFING,CRITICAL
1431561040,2022-10-07,61449.94,SMURFING,CRITICAL
2534644942,2022-10-07,58698.17,SMURFING,CRITICAL
1493436023,2022-10-07,58444.15,SMURFING,CRITICAL
1465487567,2022-10-07,57576.52,SMURFING,CRITICAL
2138505015,2022-10-07,57249.80,SMURFING,CRITICAL
6855935396,2022-10-07,54558.73,SMURFING,CRITICAL
3220735304,2022-10-07,53357.88,SMURFING,MEDIUM
3079818547,2022-10-07,52200.97,SMURFING,MEDIUM
8673917867,2022-10-07,51339.98,SMURFING,CRITICAL
8352571580,2022-10-07,39741.28,SMURFING,HIGH
5363117119,2022-10-07,34923.20,SMURFING,MEDIUM
8678802420,2022-10-07,34870.90,SMURFING,MEDIUM
7160736915,2022-10-07,30501.26,SMURFING,HIGH
7199625988,2022-10-07,27569.87,SMURFING,MEDIUM
5708936901,2022-10-07,26993.32,SMURFING,MEDIUM
7067082284,2022-11-15,21128.91,SMURFING,MEDIUM
