account,Date,total_sent,total_received,sent_count,received_count,net_flow,alert_type,risk_level
4550948935,2022-12-09,19105.70,19140.99,1,1,35.29,LAYERING,CRITICAL
1416418992,2022-10-22,8541.04,8494.86,1,1,46.18,LAYERING,HIGH
8193184390,2022-12-01,22148.99,22100.09,1,1,48.90,LAYERING,CRITICAL
7078200557,2022-10-27,6587.92,6655.37,1,1,67.45,LAYERING,HIGH
9050785104,2022-11-04,13135.51,13064.47,1,1,71.04,LAYERING,CRITICAL
6042344622,2022-12-12,6034.70,5958.52,1,1,76.18,LAYERING,HIGH
5030100545,2022-10-27,7594.86,7674.77,1,1,79.91,LAYERING,HIGH
188929394,2022-10-15,9658.21,9578.04,1,1,80.17,LAYERING,HIGH
9380493823,2022-11-09,6472.44,6576.57,1,1,104.13,LAYERING,HIGH
8424086459,2022-10-22,13052.27,12922.33,1,1,129.94,LAYERING,CRITICAL
9562274039,2022-11-06,5180.62,5037.02,1,1,143.60,LAYERING,HIGH
954553425,2022-12-12,5204.19,5053.15,1,1,151.04,LAYERING,HIGH
4049086988,2022-11-14,17652.45,17460.98,1,1,191.47,LAYERING,CRITICAL
8417752885,2022-11-05,7420.50,7615.62,1,1,195.12,LAYERING,HIGH
6708292258,2022-10-29,35807.52,35553.52,1,1,254.00,LAYERING,CRITICAL
9577633368,2022-11-19,10903.62,10635.91,1,1,267.71,LAYERING,CRITICAL
1813079910,2022-11-04,18935.15,18543.27,1,1,391.88,LAYERING,CRITICAL
5708403349,2022-11-19,39241.92,39695.99,1,1,454.07,LAYERING,CRITICAL
23039938,2022-11-25,18289.29,17800.35,1,1,488.94,LAYERING,CRITICAL
5905337797,2022-11-29,19653.60,19143.49,1,1,510.11,LAYERING,CRITICAL
5869654043,2022-10-07,17198.77,6945.40,1,1,10253.37,LAYERING,MEDIUM
2806740273,2022-10-07,17548.07,6861.49,1,1,10686.58,LAYERING,MEDIUM
