Sender_account,Receiver_account,Amount,Date,Sender_bank_location,Receiver_bank_location,Payment_type,Laundering_type,alert_type,risk_level
9430804295,6085677362,433314.60,2022-10-18,UK,Netherlands,Cross-border,Single_large,"CROSS BORDER RISK",LOW
5047305009,5993600544,322244.45,2022-10-17,UK,Morocco,Cross-border,Single_large,"CROSS BORDER RISK",CRITICAL
3271932481,4423134271,315033.80,2022-12-15,UK,Austria,Cross-border,Single_large,"CROSS BORDER RISK",LOW
5520221039,3418926964,227174.87,2022-10-17,UK,Turkey,Cross-border,Single_large,"CROSS BORDER RISK",LOW
6916860201,3089018467,198333.06,2022-10-29,Austria,UK,Cross-border,Single_large,"CROSS BORDER RISK",LOW
8427824617,7336296513,134974.74,2022-12-10,UK,France,Cross-border,Cycle,"CROSS BORDER RISK",LOW
7336296513,5617187360,124136.75,2022-12-11,France,Italy,Cross-border,Cycle,"CROSS BORDER RISK",LOW
513161146,6286930995,116983.72,2022-11-30,Morocco,UK,Cross-border,Single_large,"CROSS BORDER RISK",LOW
5617187360,8795102172,112989.47,2022-12-12,Italy,France,Cross-border,Cycle,"CROSS BORDER RISK",LOW
5095505244,8251530095,105674.69,2022-10-13,UK,Austria,Cross-border,Single_large,"CROSS BORDER RISK",LOW
3764972093,5183998157,102217.56,2022-10-15,UK,Nigeria,Cross-border,Single_large,"CROSS BORDER RISK",CRITICAL
8795102172,9377924130,100935.62,2022-12-13,France,Spain,Cross-border,Cycle,"CROSS BORDER RISK",LOW
9377924130,385607711,90199.00,2022-12-14,Spain,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
9382188772,8260022683,87001.98,2022-11-12,UK,Switzerland,Cross-border,Single_large,"CROSS BORDER RISK",LOW
385607711,1597991082,83373.08,2022-12-15,UK,Austria,Cross-border,Cycle,"CROSS BORDER RISK",LOW
8122511384,651057717,75742.17,2022-12-06,UK,Spain,Cross-border,Cycle,"CROSS BORDER RISK",LOW
5994298151,9789649248,74470.14,2022-12-12,UK,Nigeria,Cross-border,Single_large,"CROSS BORDER RISK",CRITICAL
8722719854,5757334160,69822.73,2022-11-19,UK,Pakistan,Cross-border,Single_large,"CROSS BORDER RISK",CRITICAL
651057717,3705101560,67099.42,2022-12-07,Spain,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
9310436713,5673954449,62955.79,2022-12-13,UK,Turkey,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
1681811645,4157322207,61062.76,2022-10-12,Turkey,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
5028744894,344014011,61023.46,2022-10-07,UK,Netherlands,Cross-border,Normal_Plus_Mutual,"CROSS BORDER RISK",LOW
3705101560,5100061329,60883.14,2022-12-08,UK,Switzerland,Cross-border,Cycle,"CROSS BORDER RISK",LOW
2477803987,2666796887,55652.05,2022-10-07,UK,Albania,Cross-border,Normal_Mutual,"CROSS BORDER RISK",CRITICAL
5100061329,2929456907,55478.83,2022-12-10,Switzerland,Japan,Cross-border,Cycle,"CROSS BORDER RISK",LOW
9210556116,2596387173,54124.40,2022-12-12,Spain,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
2929456907,8736463791,50170.17,2022-12-12,Japan,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
1030692910,4662117326,47306.32,2022-10-07,Pakistan,UK,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
5708403349,9422954342,39241.92,2022-11-19,UK,Mexico,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
821512934,5448654851,37923.92,2022-12-06,UAE,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
7078200557,2278896409,36004.94,2022-11-06,UK,Nigeria,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
1382495057,1963292234,33973.78,2022-10-07,Morocco,UK,Cross-border,Normal_Mutual,"CROSS BORDER RISK",LOW
4164568754,6953672776,32233.20,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4164568754,6953672776,32122.28,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5917350547,9705256080,31785.18,2022-11-22,Netherlands,Mexico,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
3023037899,5103043844,31667.00,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",HIGH
4164568754,6953672776,31613.70,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
3023037899,5103043844,31417.99,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",HIGH
1792169085,6871838311,31059.13,2022-11-27,UK,Mexico,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
7444660050,3710822308,30003.44,2022-12-13,UK,France,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8285407168,6946032382,29890.09,2022-11-02,UK,Turkey,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
3442075999,1881545328,29850.09,2022-10-07,Germany,UK,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
3229111081,2596387173,29311.03,2022-12-06,Switzerland,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
5263982631,7080357663,27492.73,2022-10-07,Japan,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5263982631,7080357663,27479.44,2022-10-07,Japan,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5263982631,7080357663,27378.48,2022-10-07,Japan,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8638390457,1944211977,26472.90,2022-11-01,UK,Mexico,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
7877700106,2534644942,25336.71,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
6726922016,1687567916,25164.48,2022-11-05,UK,Albania,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
1769648203,187354041,24593.25,2022-12-13,UK,Morocco,Cross-border,"Stacked Bipartite","CROSS BORDER RISK",HIGH
1929116626,7892884492,24469.22,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
6086421020,1253036863,24077.58,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6086421020,1253036863,23977.34,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
265022275,6133344377,23905.14,2022-12-13,UK,Mexico,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
8389148416,7489694854,23582.14,2022-10-07,UK,Italy,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
7385540908,2714399420,23282.12,2022-10-07,Japan,UK,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
3180939545,8122679649,23166.68,2022-11-07,UK,Nigeria,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
3712660061,2534644942,23161.44,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8389148416,7489694854,23159.96,2022-10-07,UK,Italy,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6633012892,5006737641,22544.67,2022-10-14,UK,Turkey,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
6916860201,8515670469,22509.38,2022-11-21,Austria,UK,Cross-border,Single_large,"CROSS BORDER RISK",LOW
4121324384,9281561360,22306.49,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
4121324384,9281561360,22158.31,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
8193184390,4960277889,22148.99,2022-12-01,UK,UAE,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
4121324384,9281561360,22084.81,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
9310436713,6141869383,21846.26,2022-12-13,UK,Japan,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
265022275,3727743666,21776.31,2022-12-05,UK,Morocco,Cross-border,Fan_Out,"CROSS BORDER RISK",HIGH
6708292258,1582827634,21495.65,2022-11-07,UK,Turkey,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
6833938792,8692856098,21068.04,2022-11-19,UK,Spain,Cross-border,Gather-Scatter,"CROSS BORDER RISK",LOW
296605000,5459635745,20966.54,2022-12-13,Japan,UK,Cross-border,Fan_In,"CROSS BORDER RISK",LOW
4251149720,4181908870,20944.34,2022-12-13,Morocco,UK,Cross-border,Scatter-Gather,"CROSS BORDER RISK",LOW
5083667611,6646502650,20909.15,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
2697605096,726077956,20603.66,2022-10-09,UK,Mexico,Cross-border,Cycle,"CROSS BORDER RISK",LOW
6724392743,9875272308,19851.81,2022-12-12,UK,Spain,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
6989271965,861742137,19606.93,2022-11-21,UK,Turkey,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
1749781869,9444527519,19358.85,2022-10-07,France,UK,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
5023341361,5448654851,19214.74,2022-12-11,USA,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
4550948935,8767765024,19105.70,2022-12-09,UK,India,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
726077956,6088675358,19097.77,2022-10-11,Mexico,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
1813079910,7417137272,18935.15,2022-11-04,UK,Morocco,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
4331853125,2939111542,18837.23,2022-10-07,UK,Italy,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
265022275,9032140473,18527.78,2022-12-09,UK,Italy,Cross-border,Fan_Out,"CROSS BORDER RISK",LOW
4121324384,8777101435,18469.73,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
23039938,8772508254,18289.29,2022-11-25,UK,Turkey,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
4121324384,8777101435,18207.77,2022-10-07,Spain,UK,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6127913747,8384869861,18066.71,2022-10-07,UK,Germany,Cross-border,Normal_Foward,"CROSS BORDER RISK",LOW
8600542721,7689874264,17953.81,2022-10-12,UK,Albania,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",HIGH
582717708,7892884492,17599.85,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
582717708,7892884492,17592.55,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1424693007,593436072,17477.41,2022-10-21,UK,Pakistan,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",HIGH
8465013530,2534644942,16768.39,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
9880098011,7892884492,16738.96,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8060121943,7820495697,16728.33,2022-10-31,UK,Morocco,Cross-border,Deposit-Send,"CROSS BORDER RISK",HIGH
4055431970,7353974647,16647.83,2022-10-07,UK,Spain,Cross-border,Normal_Small_Fan_Out,"CROSS BORDER RISK",LOW
7758268667,9609750441,16625.96,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",HIGH
9255943229,9252701993,16616.00,2022-11-27,UK,France,Cross-border,Bipartite,"CROSS BORDER RISK",LOW
5931838828,8407065812,16594.14,2022-10-07,UK,Turkey,Cross-border,Normal_Periodical,"CROSS BORDER RISK",LOW
8197072010,1170109023,16299.49,2022-11-10,UK,Morocco,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",HIGH
5931838828,8407065812,16195.44,2022-10-07,UK,Turkey,Cross-border,Normal_Periodical,"CROSS BORDER RISK",LOW
6672138927,9875272308,15698.94,2022-12-10,UK,Spain,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
3239063780,9104489693,15391.18,2022-12-04,UK,Austria,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
9749980386,6279030684,15350.29,2022-10-13,UK,Germany,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
2521152088,718745407,14985.04,2022-12-09,UK,Turkey,Cross-border,Cycle,"CROSS BORDER RISK",LOW
8537288551,7005769824,14944.10,2022-11-03,UK,Nigeria,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",HIGH
2793197858,1038535977,14726.19,2022-10-23,UK,Mexico,Cross-border,Gather-Scatter,"CROSS BORDER RISK",LOW
9891968510,821512934,14707.70,2022-11-20,UK,UAE,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
6652024436,2585134008,14610.64,2022-10-16,UK,Morocco,Cross-border,Fan_Out,"CROSS BORDER RISK",HIGH
3975494843,7373140714,14590.55,2022-12-05,Morocco,UK,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
1817675963,6646502650,14554.35,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1817675963,6646502650,14309.19,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
5862382386,3263202017,14133.41,2022-12-14,Morocco,UK,Cross-border,"Stacked Bipartite","CROSS BORDER RISK",LOW
6123762963,4669358479,14107.60,2022-10-23,UK,India,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",LOW
8465703037,3504367345,14088.24,2022-10-07,UK,Pakistan,Cross-border,Normal_Plus_Mutual,"CROSS BORDER RISK",HIGH
7222999901,8200267429,14085.29,2022-12-14,UK,Austria,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
818830460,6562075226,13904.80,2022-11-29,UK,Switzerland,Cross-border,Behavioural_Change_1,"CROSS BORDER RISK",LOW
718745407,8657935466,13835.42,2022-12-10,Turkey,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
4781791357,7464410589,13697.47,2022-10-07,UK,Japan,Cross-border,Normal_Mutual,"CROSS BORDER RISK",LOW
1226944129,2534644942,13528.29,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4251149720,3702143152,13526.92,2022-12-13,Morocco,UK,Cross-border,Scatter-Gather,"CROSS BORDER RISK",LOW
8523021855,2534644942,13499.54,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
264095857,1316458123,13455.79,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
264095857,1316458123,13447.86,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8523021855,2534644942,13405.10,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
4816063555,1423078109,13332.30,2022-10-17,UK,UAE,Cross-border,Cycle,"CROSS BORDER RISK",LOW
5955159897,6034997194,13325.37,2022-10-07,Germany,UK,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8501920513,392103684,13178.26,2022-10-15,UK,Turkey,Cross-border,Behavioural_Change_2,"CROSS BORDER RISK",LOW
8523021855,2534644942,13176.52,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1226944129,2534644942,13085.62,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
55381759,5549636261,12961.29,2022-11-27,Mexico,UK,Cross-border,Scatter-Gather,"CROSS BORDER RISK",LOW
6630041445,1316458123,12910.74,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
6630041445,1316458123,12801.57,2022-10-07,UK,Mexico,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1491989064,9460624653,12782.41,2022-10-07,UK,Spain,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
1491989064,9460624653,12748.05,2022-10-07,UK,Spain,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6611982598,9210556116,12720.48,2022-11-25,UK,Spain,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
5021785800,9745680135,12703.36,2022-10-07,UK,Japan,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
9079307827,9210556116,12553.06,2022-11-24,UK,Spain,Cross-border,Layered_Fan_In,"CROSS BORDER RISK",LOW
1182528804,2534644942,12544.40,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1182528804,2534644942,12424.26,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
1423078109,2194097010,12390.16,2022-10-18,UAE,UK,Cross-border,Cycle,"CROSS BORDER RISK",LOW
7466302779,5103043844,12215.92,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",HIGH
6874313350,8094120479,12082.12,2022-11-21,UK,Italy,Cross-border,"Stacked Bipartite","CROSS BORDER RISK",LOW
7466302779,5103043844,12071.82,2022-10-07,UK,Nigeria,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",HIGH
2477514279,4924839218,12043.52,2022-11-25,UK,Mexico,Cross-border,Deposit-Send,"CROSS BORDER RISK",LOW
4473647189,7892884492,11957.87,2022-10-07,UK,USA,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
8147726877,6646502650,11952.02,2022-10-07,UK,France,Cross-border,Normal_Fan_In,"CROSS BORDER RISK",LOW
6833938792,4076539723,11658.90,2022-11-13,UK,Italy,Cross-border,Gather-Scatter,"CROSS BORDER RISK",LOW
2196677893,911722658,11536.49,2022-10-07,Nigeria,UK,Cross-border,Normal_Periodical,"CROSS BORDER RISK",LOW
6086421020,7011505686,11446.68,2022-10-07,UK,Italy,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
2196677893,911722658,11416.75,2022-10-07,Nigeria,UK,Cross-border,Normal_Periodical,"CROSS BORDER RISK",LOW
2933339739,3953231536,11391.40,2022-12-06,UK,Morocco,Cross-border,Cycle,"CROSS BORDER RISK",HIGH
5458014530,2399858017,11390.42,2022-10-14,UK,Austria,Cross-border,Layered_Fan_Out,"CROSS BORDER RISK",LOW
8203229522,8519194353,11347.74,2022-10-07,UK,Pakistan,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",HIGH
2196677893,911722658,11320.86,2022-10-07,Nigeria,UK,Cross-border,Normal_Periodical,"CROSS BORDER RISK",LOW
6086421020,7011505686,11299.14,2022-10-07,UK,Italy,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
6086421020,7011505686,11280.89,2022-10-07,UK,Italy,Cross-border,Normal_Fan_Out,"CROSS BORDER RISK",LOW
